,,,,,,,,,
,,,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy
Rk,,Age,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt
334,Mike Sims-Walker,27,33,12,150,12.5,0,WR,15
335,Anthony McCoy,24,24,13,146,11.23,0,TE,15
336,Jamaal Charles,25,6,5,9,1.8,1,RB,15
337,Charlie Whitehurst,29,0,0,0,,0,QB,15
338,Steve Slaton,25,4,3,3,1,0,RB,15
339,Travis Beckum,24,10,5,93,18.6,1,TE,15
340,David Johnson,24,14,12,91,7.58,1,TE,15
341,Bruce Miller,24,15,11,83,7.55,1,RB,15
342,Ovie Mughelli,31,8,4,25,6.25,2,RB,15
343,Lex Hilliard,27,7,5,49,9.8,0,RB,15
344,Bear Pascoe,25,16,12,136,11.33,0,TE,14
345,David Anderson,28,16,7,79,11.29,1,WR,14
346,Michael Robinson*,28,14,9,74,8.22,1,RB,14
347,Jeremiah Johnson,24,9,7,62,8.86,0,RB,14
348,Logan Paulsen,24,19,11,138,12.55,0,TE,14
349,Brandon Saine,23,12,10,69,6.9,0,RB,14
350,Jake Delhomme,36,0,0,0,,0,QB,14
351,Jamie Harper,22,6,4,32,8,0,RB,14
352,Martellus Bennett,24,26,17,144,8.47,0,TE,14
353,Terrence Austin,23,26,12,137,11.42,0,WR,14
354,Stephen McGee,26,0,0,0,,0,QB,14
355,Michael Palmer,23,16,10,72,7.2,1,TE,13
356,Mossis Madu,24,12,10,72,7.2,0,RB,13
357,Lorenzo Booker,27,14,8,82,10.25,0,RB,13
358,Rob Housler,23,26,12,133,11.08,0,TE,13
359,Jonathan Dwyer,22,1,1,6,6,0,RB,13
360,Dante Rosario,27,,7,117,16.71,0,TE,12
361,Spencer Larsen,27,9,9,76,8.44,0,RB,12
362,Shane Vereen,22,0,0,0,,0,RB,12
363,Greg Camarillo,29,24,9,121,13.44,0,WR,12
364,Donald Lee,31,13,11,115,10.45,0,TE,12
365,John Conner,24,5,2,9,4.5,0,RB,11
366,Sammy Morris,34,7,5,13,2.6,0,RB,11
367,Donnie Avery,27,11,3,45,15,1,WR,11
368,Terrance Copper,29,12,8,114,14.25,0,WR,11
369,Domenik Hixon,27,6,4,50,12.5,1,WR,11
370,Sam Hurd,26,15,8,109,13.63,0,WR,11
371,Colin Cochart,24,9,5,44,8.8,1,TE,10
372,John Clay,23,0,0,0,,0,RB,10
373,Zach Miller,27,7,4,42,10.5,1,TE,10
374,Taiwan Jones,23,3,2,25,12.5,0,RB,10
375,Jerheme Urban,31,13,4,35,8.75,1,WR,10
376,Tom Crabtree,26,8,6,38,6.33,1,TE,10
377,Vonta Leach*+,30,27,15,69,4.6,0,RB,10
378,Luke Stocker,23,17,12,92,7.67,0,RB,9
379,Kevin Faulk,35,9,7,34,4.86,0,RB,9
380,Greg Jones,30,9,4,19,4.75,0,RB,9
381,Richie Brockel,25,3,3,13,4.33,0,TE,9
382,Weslye Saunders,22,8,4,29,7.25,1,WR,9
383,Chad Hall,25,9,3,20,6.67,1,WR,9
384,Bernard Berrian,31,23,7,91,13,0,WR,9
